epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78963,1.07015,3.50893,1.51478,0.61988,0.87722,0.88794,0.61849,1.38899,1.3186,1.24891,0,0,0
2,2.30585,1.13207,2.78564,1.44106,0.59799,0.89614,0.88789,0.62503,1.40788,1.33699,1.25355,1.17822e-06,1.17822e-06,1.17822e-06
3,2.88676,1.01728,2.12148,1.26603,0.59418,0.88042,0.88816,0.62571,1.42777,1.36119,1.26284,2.33288e-06,2.33288e-06,2.33288e-06
4,3.38728,1.05724,2.94789,1.3999,0.53873,0.83333,0.87311,0.60095,1.4466,1.38492,1.27089,3.46397e-06,3.46397e-06,3.46397e-06
5,3.85465,1.29836,2.30626,1.62661,0.66748,0.83333,0.87229,0.58005,1.47673,1.44849,1.29438,4.5715e-06,4.5715e-06,4.5715e-06
6,4.32297,0.77249,2.22813,1.1505,0.82413,0.56667,0.883,0.56733,1.48501,1.51397,1.30434,5.65548e-06,5.65548e-06,5.65548e-06
7,4.76375,1.32482,3.53244,1.6356,0.814,0.56667,0.88288,0.57172,1.49851,1.57483,1.32077,6.71588e-06,6.71588e-06,6.71588e-06
8,5.20079,1.2391,3.73402,1.63562,0.8074,0.57536,0.76868,0.57817,1.51466,1.66555,1.32734,7.75273e-06,7.75273e-06,7.75273e-06
9,5.68511,0.82597,2.60298,1.27158,0.80205,0.58316,0.77345,0.55405,1.53194,1.69625,1.34503,8.76602e-06,8.76602e-06,8.76602e-06
10,6.13134,0.9747,2.15504,1.30446,0.78902,0.58333,0.74244,0.54934,1.51905,1.70841,1.33988,9.75574e-06,9.75574e-06,9.75574e-06
11,6.60459,1.28507,2.57185,1.57949,0.77212,0.58333,0.74166,0.55694,1.50552,1.73484,1.33189,1.07219e-05,1.07219e-05,1.07219e-05
12,7.03728,0.97138,2.28626,1.31009,0.73892,0.58333,0.7415,0.5568,1.49657,1.76025,1.32885,1.16645e-05,1.16645e-05,1.16645e-05
13,7.46605,1.36061,2.96312,1.69323,0.67753,0.58333,0.74143,0.55678,1.48975,1.78409,1.32589,1.25835e-05,1.25835e-05,1.25835e-05
14,7.93404,1.02522,2.32008,1.4695,0.9364,0.37315,0.74155,0.55687,1.48213,1.83961,1.32329,1.3479e-05,1.3479e-05,1.3479e-05
15,8.38382,1.34482,2.77022,1.61173,0.93342,0.37301,0.74164,0.5468,1.49209,1.87519,1.33559,1.43509e-05,1.43509e-05,1.43509e-05
16,8.8286,1.21858,1.82381,1.48741,0.93515,0.3733,0.65859,0.48863,1.48787,1.8821,1.33088,1.51993e-05,1.51993e-05,1.51993e-05
17,9.26056,0.95506,1.55192,1.28853,0.93656,0.37341,0.65852,0.48056,1.49416,1.90016,1.34219,1.60241e-05,1.60241e-05,1.60241e-05
18,9.68325,0.67671,1.30411,1.0194,0.93656,0.37341,0.65852,0.48056,1.49416,1.90016,1.34219,1.68253e-05,1.68253e-05,1.68253e-05
19,10.1232,0.75062,1.59922,1.05742,0.9348,0.37323,0.63165,0.46803,1.5037,1.95527,1.34242,1.7603e-05,1.7603e-05,1.7603e-05
20,10.5687,1.09097,1.7182,1.33532,0.9348,0.37323,0.63165,0.46803,1.5037,1.95527,1.34242,1.83571e-05,1.83571e-05,1.83571e-05
21,11.012,0.83609,1.79252,1.24465,0.93757,0.37343,0.61759,0.46733,1.53218,2.04011,1.37023,1.90876e-05,1.90876e-05,1.90876e-05
22,11.4525,0.98303,1.71023,1.2065,0.93757,0.37343,0.61759,0.46733,1.53218,2.04011,1.37023,1.97946e-05,1.97946e-05,1.97946e-05
23,11.8896,0.96193,1.73234,1.40538,0.93761,0.37311,0.61774,0.44206,1.57336,2.12069,1.39125,2.0478e-05,2.0478e-05,2.0478e-05
24,12.3356,0.90242,1.46012,1.27293,0.93761,0.37311,0.61774,0.44206,1.57336,2.12069,1.39125,2.11379e-05,2.11379e-05,2.11379e-05
25,12.7809,0.88462,1.85108,1.23515,0.93438,0.37314,0.60424,0.45483,1.58764,2.17657,1.39935,2.17741e-05,2.17741e-05,2.17741e-05
26,13.2162,0.79286,1.23578,1.14301,0.93438,0.37314,0.60424,0.45483,1.58764,2.17657,1.39935,2.23869e-05,2.23869e-05,2.23869e-05
27,13.6484,1.03541,1.51051,1.37267,0.93273,0.37336,0.57691,0.44733,1.69027,2.29777,1.4788,2.2976e-05,2.2976e-05,2.2976e-05
28,14.0826,0.937,1.08606,1.25698,0.93273,0.37336,0.57691,0.44733,1.69027,2.29777,1.4788,2.35417e-05,2.35417e-05,2.35417e-05
29,14.5191,0.90797,1.32841,1.24513,0.93166,0.37326,0.57697,0.44614,1.6983,2.31277,1.48187,2.40837e-05,2.40837e-05,2.40837e-05
30,14.9457,0.96922,1.27648,1.30292,0.93166,0.37326,0.57697,0.44614,1.6983,2.31277,1.48187,2.46022e-05,2.46022e-05,2.46022e-05
31,15.3811,0.91007,1.64521,1.31092,0.92718,0.37285,0.5762,0.44776,1.7009,2.37733,1.5038,2.50971e-05,2.50971e-05,2.50971e-05
32,15.8099,0.72375,1.51705,1.2963,0.92718,0.37285,0.5762,0.44776,1.7009,2.37733,1.5038,2.55685e-05,2.55685e-05,2.55685e-05
33,16.2444,1.04075,1.67914,1.32427,0.92231,0.37288,0.57739,0.44797,1.70963,2.4516,1.51927,2.60163e-05,2.60163e-05,2.60163e-05
34,16.732,1.15083,1.85213,1.50806,0.92231,0.37288,0.57739,0.44797,1.70963,2.4516,1.51927,2.64405e-05,2.64405e-05,2.64405e-05
35,17.1763,0.87611,1.09809,1.24442,0.92509,0.37325,0.49444,0.35708,1.70139,2.45124,1.51472,2.68412e-05,2.68412e-05,2.68412e-05
36,17.6103,0.9007,1.44145,1.30511,0.92509,0.37325,0.49444,0.35708,1.70139,2.45124,1.51472,2.72183e-05,2.72183e-05,2.72183e-05
37,18.0463,0.97502,0.98929,1.30402,0.92759,0.37336,0.49394,0.35797,1.70894,2.43133,1.53102,2.75718e-05,2.75718e-05,2.75718e-05
38,18.5198,0.60888,0.90935,0.96598,0.92759,0.37336,0.49394,0.35797,1.70894,2.43133,1.53102,2.79018e-05,2.79018e-05,2.79018e-05
39,19.0194,0.7224,0.77061,1.17476,0.92895,0.37337,0.4939,0.34938,1.69765,2.41629,1.5163,2.82082e-05,2.82082e-05,2.82082e-05
40,19.4803,0.69542,0.88101,1.1135,0.92895,0.37337,0.4939,0.34938,1.69765,2.41629,1.5163,2.84911e-05,2.84911e-05,2.84911e-05
41,19.9785,0.90889,0.99945,1.18511,0.92917,0.37317,0.49623,0.34912,1.7256,2.41061,1.53682,2.87504e-05,2.87504e-05,2.87504e-05
42,20.468,0.81748,1.05087,1.12558,0.92917,0.37317,0.49623,0.34912,1.7256,2.41061,1.53682,2.89861e-05,2.89861e-05,2.89861e-05
43,20.962,1.03762,1.43642,1.51363,0.93052,0.37324,0.46858,0.32615,1.71868,2.40635,1.5242,2.91983e-05,2.91983e-05,2.91983e-05
44,21.4276,0.68342,0.9721,1.12441,0.93052,0.37324,0.46858,0.32615,1.71868,2.40635,1.5242,2.93869e-05,2.93869e-05,2.93869e-05
45,21.9092,0.66661,1.23748,1.09714,0.93332,0.37319,0.41174,0.27439,1.72992,2.37617,1.52329,2.9552e-05,2.9552e-05,2.9552e-05
46,22.3416,0.81257,1.0116,1.2264,0.93332,0.37319,0.41174,0.27439,1.72992,2.37617,1.52329,2.96935e-05,2.96935e-05,2.96935e-05
47,22.7888,0.78313,0.89948,1.22884,0.94192,0.37497,0.41402,0.30822,1.73077,2.39049,1.51966,2.98114e-05,2.98114e-05,2.98114e-05
48,23.2141,0.85399,1.09014,1.19754,0.94192,0.37497,0.41402,0.30822,1.73077,2.39049,1.51966,2.99058e-05,2.99058e-05,2.99058e-05
49,23.6428,0.93226,1.23582,1.30923,0.95071,0.38689,0.4192,0.29446,1.73352,2.38547,1.51855,2.99766e-05,2.99766e-05,2.99766e-05
50,24.0694,0.62173,0.82591,1.11121,0.95071,0.38689,0.4192,0.29446,1.73352,2.38547,1.51855,3.00238e-05,3.00238e-05,3.00238e-05
51,24.4968,0.79405,1.01195,1.22044,0.95078,0.38676,0.42028,0.29495,1.75432,2.42205,1.53872,3.00475e-05,3.00475e-05,3.00475e-05
52,24.9274,0.75963,1.42937,1.16555,0.95078,0.38676,0.42028,0.29495,1.75432,2.42205,1.53872,3.00476e-05,3.00476e-05,3.00476e-05
53,25.3536,0.58591,1.02312,1.03184,0.95078,0.38676,0.42028,0.29495,1.75432,2.42205,1.53872,3.00242e-05,3.00242e-05,3.00242e-05
54,25.7867,0.69224,0.97211,1.07441,0.94946,0.38684,0.4215,0.29523,1.78489,2.41337,1.57174,2.99772e-05,2.99772e-05,2.99772e-05
55,26.2113,0.77117,1.2259,1.20658,0.94946,0.38684,0.4215,0.29523,1.78489,2.41337,1.57174,2.99066e-05,2.99066e-05,2.99066e-05
56,26.6435,0.67564,0.86167,1.18769,0.94946,0.38684,0.4215,0.29523,1.78489,2.41337,1.57174,2.98125e-05,2.98125e-05,2.98125e-05
57,27.074,0.67532,0.73743,1.1957,0.95038,0.38629,0.42103,0.29689,1.75646,2.35108,1.5091,2.96948e-05,2.96948e-05,2.96948e-05
58,27.4971,1.09596,1.22852,1.42086,0.95038,0.38629,0.42103,0.29689,1.75646,2.35108,1.5091,2.95535e-05,2.95535e-05,2.95535e-05
59,27.9618,0.75313,0.81902,1.22254,0.95038,0.38629,0.42103,0.29689,1.75646,2.35108,1.5091,2.93887e-05,2.93887e-05,2.93887e-05
60,28.4199,0.78902,0.94731,1.31647,0.94923,0.38629,0.42267,0.29458,1.76796,2.38258,1.52282,2.92003e-05,2.92003e-05,2.92003e-05
61,28.9552,0.57456,0.86424,1.06499,0.94923,0.38629,0.42267,0.29458,1.76796,2.38258,1.52282,2.89884e-05,2.89884e-05,2.89884e-05
62,29.3907,0.70049,0.91888,1.21232,0.94923,0.38629,0.42267,0.29458,1.76796,2.38258,1.52282,2.87529e-05,2.87529e-05,2.87529e-05
63,29.8387,0.57898,0.7849,1.09058,0.95161,0.38619,0.42346,0.29492,1.78191,2.42044,1.53113,2.84938e-05,2.84938e-05,2.84938e-05
64,30.2741,0.69645,0.88849,1.07418,0.95161,0.38619,0.42346,0.29492,1.78191,2.42044,1.53113,2.82112e-05,2.82112e-05,2.82112e-05
65,30.7049,0.67251,0.70605,1.08161,0.95161,0.38619,0.42346,0.29492,1.78191,2.42044,1.53113,2.7905e-05,2.7905e-05,2.7905e-05
66,31.1361,0.89856,1.80102,1.32657,0.94808,0.38735,0.42586,0.30721,1.77096,2.36232,1.5169,2.75753e-05,2.75753e-05,2.75753e-05
67,31.5688,0.82,0.83605,1.24967,0.94808,0.38735,0.42586,0.30721,1.77096,2.36232,1.5169,2.7222e-05,2.7222e-05,2.7222e-05
68,31.9963,0.56258,0.72457,1.02173,0.94808,0.38735,0.42586,0.30721,1.77096,2.36232,1.5169,2.68451e-05,2.68451e-05,2.68451e-05
69,32.4365,0.80536,0.88393,1.31103,0.94913,0.38745,0.42571,0.30723,1.76546,2.38852,1.51243,2.64447e-05,2.64447e-05,2.64447e-05
70,32.8679,0.82835,1.03899,1.2508,0.94913,0.38745,0.42571,0.30723,1.76546,2.38852,1.51243,2.60207e-05,2.60207e-05,2.60207e-05
71,33.2956,0.61252,0.69899,1.11782,0.94913,0.38745,0.42571,0.30723,1.76546,2.38852,1.51243,2.55731e-05,2.55731e-05,2.55731e-05
72,33.7263,0.60886,0.85157,1.16302,0.9485,0.38866,0.42699,0.30782,1.77113,2.39079,1.50705,2.5102e-05,2.5102e-05,2.5102e-05
73,34.1509,0.5425,0.66913,1.07101,0.9485,0.38866,0.42699,0.30782,1.77113,2.39079,1.50705,2.46073e-05,2.46073e-05,2.46073e-05
74,34.5768,1.04092,1.58153,1.52987,0.9485,0.38866,0.42699,0.30782,1.77113,2.39079,1.50705,2.40891e-05,2.40891e-05,2.40891e-05
75,35.004,0.86525,0.86774,1.16311,0.94871,0.38871,0.42448,0.30484,1.78481,2.43193,1.51426,2.35472e-05,2.35472e-05,2.35472e-05
76,35.4322,0.80177,1.01011,1.23267,0.94871,0.38871,0.42448,0.30484,1.78481,2.43193,1.51426,2.29819e-05,2.29819e-05,2.29819e-05
77,35.8584,0.64799,0.6355,1.08566,0.94871,0.38871,0.42448,0.30484,1.78481,2.43193,1.51426,2.23929e-05,2.23929e-05,2.23929e-05
78,36.3052,0.60851,0.90148,1.10697,0.94927,0.38796,0.42494,0.30511,1.77369,2.43248,1.48045,2.17805e-05,2.17805e-05,2.17805e-05
79,36.7438,0.71797,1.16761,1.27013,0.94927,0.38796,0.42494,0.30511,1.77369,2.43248,1.48045,2.11444e-05,2.11444e-05,2.11444e-05
80,37.1869,0.51291,0.67055,1.05723,0.94927,0.38796,0.42494,0.30511,1.77369,2.43248,1.48045,2.04848e-05,2.04848e-05,2.04848e-05
81,37.6276,0.76794,0.74181,1.14613,0.94479,0.38589,0.42654,0.30497,1.772,2.45473,1.46268,1.98016e-05,1.98016e-05,1.98016e-05
82,38.055,0.40146,0.41651,0.92449,0.94479,0.38589,0.42654,0.30497,1.772,2.45473,1.46268,1.90949e-05,1.90949e-05,1.90949e-05
83,38.4814,0.67027,0.63259,1.05486,0.94479,0.38589,0.42654,0.30497,1.772,2.45473,1.46268,1.83646e-05,1.83646e-05,1.83646e-05
84,38.9182,0.85702,1.43222,1.30211,0.94423,0.38644,0.42725,0.30578,1.776,2.44074,1.45164,1.76107e-05,1.76107e-05,1.76107e-05
85,39.3569,0.60364,0.80938,1.15112,0.94423,0.38644,0.42725,0.30578,1.776,2.44074,1.45164,1.68333e-05,1.68333e-05,1.68333e-05
86,39.7945,0.65846,0.81262,1.17268,0.94423,0.38644,0.42725,0.30578,1.776,2.44074,1.45164,1.60323e-05,1.60323e-05,1.60323e-05
87,40.2368,0.51844,0.59846,1.04338,0.94423,0.38644,0.42725,0.30578,1.776,2.44074,1.45164,1.52077e-05,1.52077e-05,1.52077e-05
88,40.6749,0.6018,0.95707,1.06836,0.9434,0.3893,0.42848,0.30576,1.79619,2.42962,1.48069,1.43596e-05,1.43596e-05,1.43596e-05
89,41.0984,0.65213,0.58713,1.13329,0.9434,0.3893,0.42848,0.30576,1.79619,2.42962,1.48069,1.34879e-05,1.34879e-05,1.34879e-05
90,41.529,0.81286,0.6692,1.08409,0.9434,0.3893,0.42848,0.30576,1.79619,2.42962,1.48069,1.25927e-05,1.25927e-05,1.25927e-05
91,42.4075,0.61674,0.56513,1.08688,0.9434,0.3893,0.42848,0.30576,1.79619,2.42962,1.48069,1.16739e-05,1.16739e-05,1.16739e-05
92,42.9103,0.4123,0.48685,0.87891,0.94482,0.3879,0.42796,0.30572,1.79626,2.40244,1.46235,1.07315e-05,1.07315e-05,1.07315e-05
93,43.341,0.38787,0.45965,0.92736,0.94482,0.3879,0.42796,0.30572,1.79626,2.40244,1.46235,9.76562e-06,9.76562e-06,9.76562e-06
94,43.7638,0.59895,0.55168,1.08813,0.94482,0.3879,0.42796,0.30572,1.79626,2.40244,1.46235,8.77613e-06,8.77613e-06,8.77613e-06
95,44.1829,0.60752,0.57428,1.0609,0.94482,0.3879,0.42796,0.30572,1.79626,2.40244,1.46235,7.76308e-06,7.76308e-06,7.76308e-06
96,44.6103,0.64905,0.66968,1.22026,0.93778,0.38932,0.42741,0.30575,1.82791,2.49044,1.5113,6.72648e-06,6.72648e-06,6.72648e-06
97,45.04,0.63971,0.56048,0.95644,0.93778,0.38932,0.42741,0.30575,1.82791,2.49044,1.5113,5.6663e-06,5.6663e-06,5.6663e-06
98,45.4697,0.52267,0.48393,1.00909,0.93778,0.38932,0.42741,0.30575,1.82791,2.49044,1.5113,4.58257e-06,4.58257e-06,4.58257e-06
99,45.892,0.5137,0.50383,1.05422,0.93778,0.38932,0.42741,0.30575,1.82791,2.49044,1.5113,3.47528e-06,3.47528e-06,3.47528e-06
100,46.3234,0.46578,0.4942,0.97507,0.93376,0.39083,0.42718,0.30535,1.80816,2.46133,1.48375,2.34442e-06,2.34442e-06,2.34442e-06
